ShareCode,MA_std,RSI,Price/BB_up,Price/BB_down,Price/KijunSen,Price/TenkanSen,Price/MA_20,Price/MA_50,Price/MA_100,San,Nganh,So_huu_nha_nuoc,So_huu_nuoc_ngoai,DTT_2018,TT_DTT,EPS_2018,LNST_2018,TT_LNST,TTS_2018,TT_TTS,VCSH_2018,EBITDA,EBITDA_per,ROE,ROA,EV,EV/EBITDA,P/E,P/B,Book_value,Market_size,TTS/VCSH
DPM,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,> 1,<= 1,>= 1,<= 1,<= 1,HOSE,Hóa chất L3,0.5958207793,0.1901,> 1150 ty,<= 0,1000 => 2500,> 65 ty,<= 0,> 1450 ty,<= 0,> 600 ty,> 140 ty,0.1 => 0.2,0.05 => 0.1,0.05 => 0.1,> 750 ty,4 => 9,8 => 18,0.5 => 0.8,> 550 ty,> 600 ty,<= 1.5
DPR,> 0.7,30 => 70,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,HOSE,Hóa chất L3,0.5581395349,0.1493,350 ty => 1150 ty,0 => 0.1,> 2500,> 65 ty,<= 0,> 1450 ty,0 => 0.1,> 600 ty,> 140 ty,> 0.2,0.05 => 0.1,0.05 => 0.1,> 750 ty,4 => 9,5 => 8,0.5 => 0.8,> 550 ty,> 600 ty,<= 1.5
DQC,0.3 => 0.7,30 => 70,0.9 => 1,1 => 1.1,<= 1,> 1,>= 1,>= 1,>= 1,HOSE,Hàng gia dụng L3,0.0,0.0314,> 1150 ty,<= 0,> 2500,> 65 ty,<= 0,> 1450 ty,<= 0,> 600 ty,36 ty => 140 ty,0.1 => 0.2,0.05 => 0.1,0.01 => 0.05,> 750 ty,4 => 9,5 => 8,0.5 => 0.8,> 550 ty,150 ty => 600 ty,1.5 => 2
DRC,> 0.7,> 70,0.9 => 1,> 1.1,> 1,<= 1,>= 1,>= 1,>= 1,HOSE,Ô tô và phụ tùng L3,0.5050637874,0.2329,> 1150 ty,> 0.1,1000 => 2500,> 65 ty,> 0.2,> 1450 ty,<= 0,> 600 ty,> 140 ty,0.1 => 0.2,0.05 => 0.1,0.01 => 0.05,> 750 ty,4 => 9,> 18,> 1.5,> 550 ty,> 600 ty,1.5 => 2
DRH,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,>= 1,HOSE,Bất động sản L3,0.0,0.017,115 ty => 350 ty,> 0.1,250 => 1000,> 65 ty,0 => 0.2,> 1450 ty,> 0.1,> 600 ty,36 ty => 140 ty,> 0.2,0.05 => 0.1,0.01 => 0.05,> 750 ty,> 9,5 => 8,0.5 => 0.8,> 550 ty,150 ty => 600 ty,2 => 3
DRL,> 0.7,30 => 70,0.9 => 1,1 => 1.1,> 1,> 1,>= 1,>= 1,>= 1,HOSE,Sản xuất & Phân phối Điện L3,0.3042105263,0.0072,<= 115 ty,0 => 0.1,> 2500,13 ty => 65 ty,0 => 0.2,<= 170 ty,> 0.1,70 ty => 200 ty,36 ty => 140 ty,> 0.2,> 0.2,> 0.1,180 ty => 750 ty,4 => 9,8 => 18,> 1.5,70 ty => 190 ty,150 ty => 600 ty,<= 1.5
DSN,0.3 => 0.7,30 => 70,0.9 => 1,1 => 1.1,> 1,> 1,>= 1,>= 1,>= 1,HOSE,Du lịch & Giải trí L3,0.0,0.2154,115 ty => 350 ty,0 => 0.1,> 2500,> 65 ty,0 => 0.2,170 ty => 450 ty,0 => 0.1,200 ty => 600 ty,36 ty => 140 ty,> 0.2,> 0.2,> 0.1,180 ty => 750 ty,4 => 9,8 => 18,> 1.5,190 ty => 550 ty,> 600 ty,<= 1.5
DTA,<= 0.3,30 => 70,0.9 => 1,> 1.1,> 1,> 1,>= 1,>= 1,>= 1,HOSE,Bất động sản L3,0.0,0.0011,<= 115 ty,> 0.1,250 => 1000,2 ty => 13 ty,> 0.2,170 ty => 450 ty,> 0.1,70 ty => 200 ty,8 ty => 36 ty,> 0.2,<= 0.05,0.01 => 0.05,180 ty => 750 ty,> 9,> 18,0.5 => 0.8,70 ty => 190 ty,50 ty => 150 ty,2 => 3
DTL,> 0.7,30 => 70,<= 0.9,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,HOSE,Kim loại L3,0.0,0.0001,> 1150 ty,<= 0,<= 250,<= 2 ty,<= 0,> 1450 ty,<= 0,> 600 ty,> 140 ty,<= 0.05,<= 0.05,<= 0.01,> 750 ty,> 9,<= 5,0.8 => 1.5,> 550 ty,> 600 ty,2 => 3
DTT,<= 0.3,No info,0.9 => 1,1 => 1.1,> 1,<= 1,>= 1,<= 1,<= 1,HOSE,Hóa chất L3,0.0,0.003,115 ty => 350 ty,> 0.1,250 => 1000,2 ty => 13 ty,> 0.2,170 ty => 450 ty,<= 0,70 ty => 200 ty,8 ty => 36 ty,0.1 => 0.2,<= 0.05,0.01 => 0.05,40 ty => 180 ty,> 9,> 18,0.8 => 1.5,70 ty => 190 ty,50 ty => 150 ty,<= 1.5
